text;label
lagu bosan apa yang aku save nih huhuhuhuhuhuhuhuhuhuu;2
kita lanjutkan saja diam ini hingga kamu dan aku mengerti tidak semua kebersamaan harus melibatkan hati;2
doa rezeki tak putus inna ha zaa larizquna mak lahu min na fadesungguhnya ini ialah pemberian kami kepada kamu p;0
terima kasih lah nanti kita bagi hasil aku sisanya buat kamu;0
aku tak paham beitul jenis orang malaysia yang tak mengerti nak sangkut balik hose itu aku geli bodoh nak pegang;2
barusan lihat tulisan di belakang truk rela injek kopling demi kamu bisa belanja;1
cerita dia macam nihhh mamat nihhh hari aku menampak keluar masuk cimb ceria saja tapi hari nihhh aku tengok muka dia masam aku p;2
ya aku akan menjadi satu satunya bukan nomor satu tetapi satu satunya;0
aku saja cape sama diriku sendiri apalagi kamu maaf ya;2
aku cuba nak amalkan sikap pergi mampus tapi sayang aku gagal sebab aku jenis mudah kasihan dan mudah memaafkan;2
her itu lo miss kevin sama keven berebut gimbot ya sudah aku beli saja sambil menunjuk the kembar yang asyik main ipad masin;1
iya rep tak tau aku masih kelas sekolah dasar eh di blok;1
aku mohon tepatilah janjimu penantiancintaeps;1
bukan beria natural killer kahwin sebab gatal celah kangkang tetapi penat bila balik kg orang anggap aku nih bujang tak ada kerja and ser;1
aku ingatkan habanero paling pedas rupanya ada kali ganda yang lagi pedas gila;1
aku tedangok drama cidanta bukadan kristalatu codanversatiodan adanak dedangadan bapak bapak iyee sekaradang semua perempuadan dan;1
i do not know kenapa but these zikir sangat membantu aku pon dapat hasil dari orang retweetambil usaha sambil doa insya alla;0
commitmentetakat kehulu hilir together tapi tak put effort nak kahwin baik tinggalkan je bazir masa;2
ah kamu saja mas aku lebih suka diayomi;0
yang aku butuh interaksi dari l l yuk yang line sebegitu ayo mutualan nanti ku follow tapi auto ikuti oke rt saja;1
kamu sudah tak streak dengan aku pun;1
yang selama ini nunggun video dari aku nih retweet yang mau full;1
mau bantu aku menabung;0
kamu jahat dubu lt;2
tak kisah pun bf adekk kawan perempuan sebab aku pun adekk kawan laki tapi kalau over nak mentidakdu nak cite itu ini send tidak;1
high;1
nanti malam ada undangan opening di hungerbelt spazio temani aku lah siiss;1
aku nak tanya lah apa perasaan korang bila simpan duit dalam tabung kemudian anai makan duit itu;2
tak peduli seperti apa hidupmu kamu selalu punya pilihan untuk melihat dari sisi baiknya atau sisi buruknya;0
aku sudah tahu macam mana nak bagi pengantin gelak natural hahahahahahahahahahaha;0
aku tambah lagi ia;1
cara nak memintak maaf ada aku meminta maaf aku mengaku salah aku apa yang boleh aku buat untuk betulkan ba;0
sebenarnya ramai sifu properti approach aku untuk join kelas investment etcemua cerita beli rumah murah dan sewakan;1
kalau gebetan kamu tidak pernah buang ludah di jalan memacari;2
jangan dekat dengan aku aku tengah susah nanti aku senang aku panggil;2
yuk netweetjen dibantu;0
ya allah ya tuhanku kamu lindungilah kedua ibu bapaku di saat aku berjauhan dengan mereka;0
lecturer aku suruh tampal note kat tempat yang aku selalu tengok tak akan aku nak tampal kat muka crush pula;1
tahun aku ingin nikah umur sama orang yang bebebegini bebebegini bebebegini tahun belum ada yang nglamar tahun sih;1
terdengar perbualan budak sekolah aku natural killer amik a level aku natural killer amik asasi asasi lagi oke dari matrik kan kakak;1
cara outin diri sendiri batidakaimana sih yantidak bisa outin aku aku bayar deh tidak;1
giveaway karena hari ini umur aku bertambah jadi aku ingin berbagi rules saja dan ucapkan saya wish dan screenshoo;0
ya allah ya tuhanku kamu lindungilah kedua ibu bapaku di saat aku berjauhan dengan mereka;0
selamat hari jumat buat kamu yang selalu bikin rindu ini kumat;0
kasihan belakang dengan laki lain and girl goes like mesti dia tak bagi attention sampai gf dia buat camtuh men are t;2
diremas di enyot ngedusel dusel di nenen kamu wah mantap;0
mana gampaang aku bertanya dulu tau;1
idm halo ami tolobg bantu ya huhu ini aku masalah album ku yang tidak sampai sampai;2
tak ada gf pun tak apa imaginary gf pun also can setelah itu lama lama aku jadi gila sekian;2
hi rakyat ku karena akhirnyauga postelca aku mau give away album love yourself answerealed versionnya pilihendiri e;0
makan tidak makan tidak hari nihh aku mereput je lah kat rumah hadap di orang nihh haiz;1
tahun jadi bestfriend but gaduh sikit sampai bulan tak tegur malam tadi aku koyak sikit pasti post gambar dia tetib;2
threado asi promisied aku natural killer citer pengalaman aku ambil teh kurusi pil kurusi it wasi macam tuince everyone wasi si;1
makanya tadi aku kaget lihat teman kabar nya sudah menikah dalam hati kamu kapan taarufnya kok sampai tidak tercium kabarnya;1
pacar kamu sibuk ya kok tumben komen wassap cerita aku;2
kucing datang bawah meja mintak makanan kamu bagi lah apa yang ada jangan sepak pula dia tak datang seekor dia datang ber;2
lepaskanlah dia tidak mau kamuadarlah jangan membatu;2
aku nak tanya lah apa perasaan korang bila simpan duit dalam tabung kemudian anai makan duit itu;2
tolong sebelum kamu nak kacau orang yang aku sayang kamu pikir dulu macam mana perasaan kamu bila ada orang kacau buah hati kamu;2
biasalah itu perempuan kena berjaga jaga muka malaikat pun kadang perangai syaitan juga aku pernah tidak camni lari laju teruk;2
pilih salah satu yang paling kamu nyaman;0
aku sendiri juga yuk barengan;0
aku benci soalahn balah dengan amelia sudah lah tak ada duit natural killer pinjam pinjam lahk coba betul pasti aku lahk aku kena kire;2
aku juga dong mbaknya link kalau jepang main;1
birthday abang aku dia ajak pergi makan aku tolak sebab kerja balik lambat nak ot dia ajak per;2
mini giveaway berhubung aku ulang tahun aku mau bagi rezeki pulsa k like saja mau mutualan boleh banget doakan aku ya diundi j;0
mantan kamu yang berengsek itu jangan dilupakan justru dijadikan pengingat bahwa kamu pernah salah pilih dan dibego bego;0
aryana tolong buka mata besar besar pilihlah syafiq biarlah sofea bahagia bersama adrian tolong lah murungnya aku kal;0
hyung kamu kanibal kan;1
buatlah cita cita kamu setinggi bintang di langit tetapi jangan lupa untuk membuat anak tangga perencanaannya cendekiabijak;0
kamu tidak laku laku unn;2
aku try uniituk lupakan benda iitu tapi akhirnya benda iitu buat aku jadi down ya allah tolong lah hilangkan kekecewaan yang ada;2
jajanin aku kak;1
iya kasihan donghae nya aku kelelep;2
ini tiga aku satu saja tidak punya;1
hi semuanya aku adakan give away nih give away nya album bts yang love yourself answers hore cukup follow dan retwee;1
cantik boleh lah confess kat crush peluang kena reject itu senihpis sel epidermis bawang je tang aku nih kalahu confess hem;0
aku di rumah saja adalah anagram dari besok malam minggu;1
jumat malam bersama kawan di dalam mobil menuju sebawah apartemen diurabaya barat b guys maaf ya aku dan a k;1
aku juga pernah sudah kayak begitu x tidak ada hasil percumaa;2
ku kira aku introvert ternyata karena tidak punya uang saja jadi malas ke mana mana;2
cnta kamu ke aku itu kayak foto albm tau tidak dbalk tetap saja tidak brbh sama ky km ytidak tidak pernah brbh untuk menjadi ytidak terbaik untuk aku;0
ini yang buat aku semakin yakin indonesia akan damai jika di pimpin beliau;0
aku fakap betul kalau nak pergi makan ramai nak happy tetibe ada yang badmood oi nak makan je oi;2
kalau cewek kamu bising nothing is salah once cewek kamu susudah senyap everything is salah perhaps dia susudah ada someone yang;2
pernah dan habis itu aku tidak berani bawa motor selama beberapa hari dan pas mau bawa motor lagi gemeteran begitu;2
aku natural killer walk in ajelah senang;0
jadilah seperti aku;0
sentiasa ingatkan diri jangan selalu tunjukan kegembiraan depan orang yang sedang kecewa semoga aku sentiasa ingat;0
aku di kampus untuk minum kopi ketemu orang podo semua takok e lapo mengubah sosyeti a;1
gipewei lagi sedih nih aku seok jin rt fllw rep tidakmbar seok jin tag kalau mau doakan aku jutidak tidak apa apa tidak jutidak tidak apa apa;2
teman teman yang ada di jatinangor dan sekitarnya bisa tolong dibeli ya jualan bapak ini beliau jual kain lap keset dan sebagainya;0
haha aku jutidak tidak mengerti tadi tetapi asal jawab saja;0
kelak jika aku menjadi orang tua yang akan kulakukan adalah meyakinkan anakku nak percaya sama ayah tidur siang itu men;0
yang apa kamu mengabulkan doa ku untuk klosdonecepatnya okey kalau itu mau kamu;2
aku terhibur hahahahahahahahahahahaha;0
kamu juga kan;1
x deh adab betul budak nih pinjam buku aku;1
ok but the bahasa melayu names for our malaysian burung selalu buat aku mudah terhibur contohnya burung berek ber;0
makin lama rasa apebende lah aku melalut nih i better stop;2
iya lucu memang dia aku berteman di instagram;0
dear makhluk hidup disekitarku kalau mau tau tanyakan langsung ke aku saja tidak usah lewat orang lain lumayan kan tidak;2
member aku adek cite kat aku yang dibreak up dengan gf dia time dia cerita suddenly dia menangis he tahun bersama kot;2
hati aku kecewa aku sedih aku aku seorang je tahu orang lain tak tahu;2
kenapa popular weh maaf aku blur x paham maksud hg;1
lhaa kaann ancene aku arek e kurang pintar wayah e aku koncoan terus ya ambk arek e siapa mengerti kecipratan rejeki;0
give away time untuk merayakan ulang tahun namjoon dan ulang tahun aku aku adakan give away photocard dan juga album love;0
broimak vidieo ini ribka tjiptaning penulis buku aku bangga jadii anak partai komunis indionesia diia setuju partai komunis indionesia harus tetap adia yang pasti di;1
kak mau juga;0
mau mandi dicerahami dulu sama nyonya besar intinya sama tobat kamu habis iniiap komandan;1
kepada para suami aku menasehati jangan forward gambar nih kepada isteri aku baru forward tadi;2
aku tak paham betul lelaki tak suka perempuan pakai makeup;2
wasyuu;2
kamu adalah yang ia inginkan untuk menjadi tempat persinggahan terakhirebesar itu harapannya kepadamu jangan mengecew;0
aku dulu lahir di yoyakarta yoyakarta dijuluki kota berhati nyaman pantas saja aku langsung pakai hati kalau sudah nyaman sedikit;0
guys aku jumpa ayat yang berguna untuk digunakan time korang tengah putus asa sabar terbahagi kepada dua iaitu sabar;0
ada penjual suruh tebuk lubang kecil saja tahan lebih hari aku sudah natural killer dekat bulan x hb;1
kepada fresh grad yang tengah cari kerja boleh try amalkan zikir dan semua doa nihh alhamdulillah lepas amalkan nihh aku pon dapat;0
at least datang balik meminta maaf ok lah daripada hilang dari radar tinggal aku tanpa pesan kamu ingat senang ke nak stick to;2
macam mana nak tidur kakaklau still pikirkakakn orang yang kita sayang ok ke tak itu tidurnya lena ke dia pelukakakn aku tak kakak;2
kengkawan lama suka cari aku bila nak translate bahasa jawa haha ingat lagi aku nih anak jawa;1
kalau akhlak mereka lebih baik kenapa tidak kalau mereka lebih bisa menghargai melindun;0
karena aku ingin tahu;1
aku betul betul nak mintak bantuan korangemua untuk cari haji loqman bin haji azli nih mugkin korang tak kenal tapi mugkin;2
her miss kan taman safari jauh iya di pasuruan aku malas nganterno andrew kesana kalau taman safarinya tak undang ke ru;2
berarti aku benar dong jawab cowok dapat juta enggak nih;1
tls followan sama aku ayo rep rt kita berteman;1
modal nomad ribuan dan sekotak popcorn modus mesum dilancarkan pertama tama kamu merasa aneh lama lama kamu izinkan maksiat;2
terkadang allah kasih tahu kalau sesuatu itu bukan buat kamu dengan cara yang menyakitkan;2
back then in school cikgu semua macam eh jangan bercinta sekarang nanti kat uni lagi handsome handsome kamu jumpa now i;2
masih ingat lagi tak macam mana mula mula kita kenal dulu awal nya aku tertawa dan akhirnya aku menangis;2
kalau tak bersungguh nak jaga aku boleh je berhenti berpura aku boleh jaga diri aku tanpa memaksa kamu kamu tak perl;2
iya hubungin aku saja ya butuh dosa berapa banyak lagi wkwk;2
buat dong aku kan juga istrinya daniel;0
kalau mahal service bagus tak apa ini streamyx aku kat rumah pun barai;2
hihi look at the face lepaskan aku tak mau kamu bau ikan bagi aku mandikan dulu namau nameow catsoftwit;0
sejauh aku berjalan sampai dahlia baru perasan tertinggal labcoat kat dinamik bro;2
antra bebaniiyaaak pondan kita malaiiyaasia nihh aku rasa viviana nihh iiyaa bila bercakap ada content ive never thought iiyaa komunihhti ki;1
lepas tengok film onetwojaga teringat pula time intern dulu kerja dengan contractor sebagai quantityurvey juruuk;1
ada yang bertahan karena sayang ada juga karena terpaksa menurut kamu kapel kamu yang mana;1
guys today aku nak rekomen kat korang film yang best some of kamu maybe belum pernah tengok film itu lagi aku tak berapak pak;0
sudah waktunya aku mulai menjalani hidupku sendiri mello death note;2
sok aku pergi klinihk sebab muntah tengok carta organihsasi dia buatkan aku nak tergelak apa nih hai;1
menampak lah orang lahin semua uang muka gambar kawin dengan husband aku je uang muka gambar ambil sendiri;2
ya allah ingin tertawa goler aku sama trit ini;1
tolong lah hari ini je sudah banyak sangat tertawa krem perut aku yel;0
i do not know lah nak kata macam mana sekarangebab aku seorang yang rasa sakit sok orang lain do not judge me;2
mu gemas banget adminnya aku tidak jadi marah;2
pasti kan perangai dia still babi lagi menampak sangat tak mau aku kahwin biasa biasa;1
siiang happy friday sialat jumat nya jangan lupa ya aku habisi ada kegiatan terusi nanti ada latihan bareng tim j si;1
kakakwan aku bagi tips dietebab masa cuti dia just makakakn nih unituk diet and bila naik sem hari itu dia sudah kurus giler kakak;1
begitu tuhan yesus berkata aku dapat menggantikan rasa frustasi di hatimu dengan damai sejahtera my bos my love;0
aku doakan lelaki yang tengah kerja cari duit untuk pasangan masing masing diberikan kesehatan dan dimurahkan rezekiemo;0
bisaan saja kamu naruto padahal memang ingin nyium tetapi mukaku yang disalahkan begitu lt;2
keluar air mata jantan aku baca;2
siapa dapat first impression macam niumpah aku ingat kamu dulu sombong gila orang pun cakap kamu macam sombong aku p;2
aku tadi nge rt wah wah wah;1
